ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,member_casual
CB4E925A2D6C0496,docked_bike,12/04/2021 21:14,12/04/2021 21:17,Southport Ave & Roscoe St,Clark St & Newport St,casual
C5D33E3E2FADF94B,electric_bike,12/18/2021 13:17,12/18/2021 13:30,Greenview Ave & Diversey Pkwy,Clark St & Newport St,casual
45410D8761337DE2,classic_bike,12/20/2021 19:33,12/20/2021 19:46,Blackstone Ave & Hyde Park Blvd,MLK Jr Dr & 47th St,member
63A4FE0531494D63,classic_bike,12/26/2021 17:09,12/26/2021 17:17,Sheridan Rd & Montrose Ave,Clark St & Newport St,casual
311369A48B75D93F,classic_bike,12/21/2021 7:18,12/21/2021 7:29,DuSable Lake Shore Dr & North Blvd,LaSalle St & Illinois St,member
6D444858059D08FB,electric_bike,12/20/2021 18:00,12/20/2021 18:10,N Green St & W Lake St,LaSalle St & Illinois St,member
C234775C50C56E66,electric_bike,12/01/2021 12:40,12/01/2021 12:46,Clark St & Drummond Pl,Clark St & Newport St,casual
B21851481DA3D234,electric_bike,12/04/2021 20:22,12/04/2021 20:31,Clark St & Montrose Ave,Clark St & Newport St,member
6C5D6DF687E6FDBE,classic_bike,12/04/2021 16:03,12/04/2021 16:08,Southport Ave & Wellington Ave,Clark St & Newport St,member
4F6C208357A9F6B1,docked_bike,12/21/2021 13:52,12/21/2021 14:10,Ashland Ave & Belle Plaine Ave,Clark St & Newport St,casual
F8C02EDC88D835BB,classic_bike,12/31/2021 7:57,12/31/2021 8:10,Broadway & Barry Ave,Clark St & Newport St,member
621CD6E811C84A23,electric_bike,12/20/2021 15:01,12/20/2021 15:12,Southport Ave & Wrightwood Ave,Clark St & Newport St,casual
41ED0E0DD3968C64,electric_bike,12/02/2021 8:02,12/02/2021 8:26,Dorchester Ave & 63rd St,Dorchester Ave & 63rd St,casual
3CBEEC81EF5D1EBC,classic_bike,12/06/2021 10:12,12/06/2021 10:30,Dorchester Ave & 63rd St,Dorchester Ave & 63rd St,casual
56B8D342F2B8EE06,electric_bike,12/21/2021 19:40,12/21/2021 19:51,Clark St & Newport St,Walsh Park,casual
3C3F109D0FE2E9B4,classic_bike,12/26/2021 12:09,12/26/2021 12:19,Clark St & Drummond Pl,Clark St & Newport St,member
C525FDCEE7C53892,classic_bike,12/22/2021 18:40,12/22/2021 18:45,Wilton Ave & Diversey Pkwy,Clark St & Newport St,member
42FF35F17DC509F3,electric_bike,12/03/2021 21:41,12/03/2021 22:23,Nordica & Medill,Clark St & Newport St,member
E4E9680760569DCF,classic_bike,12/14/2021 16:06,12/14/2021 16:13,Halsted St & Wrightwood Ave,Clark St & Newport St,member
02445F63EAEE866B,classic_bike,12/07/2021 16:08,12/07/2021 16:14,Halsted St & Wrightwood Ave,Clark St & Newport St,member
DD3D229FD5DFE41E,classic_bike,12/27/2021 13:03,12/27/2021 13:09,Loomis St & Archer Ave,Laflin St & Cullerton St,member
C6615AC6F444F1B0,electric_bike,12/02/2021 13:34,12/02/2021 13:36,Halsted St & Roscoe St,Clark St & Newport St,member
108B6148D389D3B6,classic_bike,12/09/2021 18:10,12/09/2021 18:28,Clark St & Armitage Ave,Clark St & Newport St,member
F8BEE2A8E807A5DF,classic_bike,12/03/2021 19:53,12/03/2021 20:06,Burling St & Diversey Pkwy,Clark St & Newport St,casual
567929AFBF82DB25,classic_bike,12/13/2021 0:56,12/13/2021 1:31,Seeley Ave & Garfield Blvd,Western Blvd & 48th Pl,casual
7B25177A0D589308,electric_bike,12/05/2021 10:27,12/05/2021 10:30,Clarendon Ave & Leland Ave,Broadway & Argyle St,member
FF4ECD95DBF6A646,electric_bike,12/26/2021 11:58,12/26/2021 12:18,Dodge Ave & Church St,Dodge Ave & Church St,casual
11C1B7030ADA50EB,classic_bike,12/29/2021 23:00,12/29/2021 23:10,Clark St & Newport St,Clark St & Newport St,casual
24FA45DE7F3E5B2D,electric_bike,12/03/2021 17:12,12/03/2021 17:13,Clark St & Newport St,Clark St & Newport St,casual
9222AD2C0F8E7628,classic_bike,12/11/2021 9:37,12/11/2021 9:47,Greenview Ave & Fullerton Ave,Clark St & Newport St,member
C40DF08FAA734ABF,electric_bike,12/27/2021 20:53,12/27/2021 21:03,Clark St & Drummond Pl,Clark St & Newport St,member
109FF6B7D463BD33,electric_bike,12/29/2021 12:52,12/29/2021 13:03,Clark St & Drummond Pl,Clark St & Newport St,member
455D36964F4714FA,classic_bike,12/07/2021 17:03,12/07/2021 17:13,Wilton Ave & Diversey Pkwy,Clark St & Newport St,member
4159629435D9B349,electric_bike,12/20/2021 0:45,12/20/2021 0:59,Drake Ave & Montrose Ave,Clark St & Newport St,casual
3861CBD9FE7EEDB0,classic_bike,12/16/2021 14:16,12/16/2021 14:32,Greenwood Ave & 91st St,Greenwood Ave & 91st St,casual
DCC006D7091C622A,electric_bike,12/02/2021 12:47,12/02/2021 12:47,Laflin St & Cullerton St,Laflin St & Cullerton St,casual
